name,drugbank_id,mechanics,diagnosis
Citalopram,DB00215,"['Sodium-dependent serotonin transporter inhibitor', 'Histamine H1 receptor binder']",depression
Escitalopram,DB01175,"['Sodium-dependent serotonin transporter inhibitor', 'Muscarinic acetylcholine receptor M1 inhibitor', 'Histamine H1 receptor inhibitor', '5-hydroxytryptamine receptor 1A inhibitor', '5-hydroxytryptamine receptor 2A inhibitor', 'Alpha-1 adrenergic receptors inhibitor', '5-hydroxytryptamine receptor 2C inhibitor', 'Alpha-2 adrenergic receptors inhibitor', 'Dopamine D2 receptor inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor', 'Sodium-dependent dopamine transporter inhibitor']",depression
Fluoxetine,DB00472,"['Sodium-dependent serotonin transporter inhibitor', '5-hydroxytryptamine receptor 2C antagonist', 'Neuronal acetylcholine receptor subunit alpha-2 antagonist', 'Neuronal acetylcholine receptor subunit alpha-3 antagonist', 'Neuronal acetylcholine receptor subunit beta-4 antagonist', 'Potassium voltage-gated channel subfamily H member 2 inhibitor']",depression
Fluvoxamine,DB00176,['Sodium-dependent serotonin transporter inhibitor'],depression
Paroxetine,DB00715,"['Sodium-dependent serotonin transporter inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor', '5-hydroxytryptamine receptor 2A agonist', 'Alpha-1 adrenergic receptors binder', 'Alpha-2 adrenergic receptors binder', 'Beta adrenergic receptor inhibitor', 'Dopamine D2 receptor other/unknown', 'Histamine H1 receptor inhibitor', 'Muscarinic acetylcholine receptor inhibitor', '5-hydroxytryptamine receptor 2B agonist', 'D(1) dopamine receptor other/unknown']",depression
Sertraline,DB01104,"['Sodium-dependent serotonin transporter inhibitor', 'Sodium-dependent dopamine transporter inhibitor', 'Sigma receptor inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor']",depression
Duloxetine,DB00476,"['Sodium-dependent serotonin transporter inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor', 'Sodium-dependent dopamine transporter inhibitor']",depression
Venlafaxine,DB00285,"['Sodium-dependent serotonin transporter inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor', 'Sodium-dependent dopamine transporter inhibitor']",depression
desvenlafaxine,DB06700,"['Sodium-dependent noradrenaline transporter inhibitor', 'Sodium-dependent serotonin transporter inhibitor', 'Sodium-dependent dopamine transporter inhibitor']",depression
duloxetine,DB00476,"['Sodium-dependent serotonin transporter inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor', 'Sodium-dependent dopamine transporter inhibitor']",depression
