name,drugbank_id,mechanics,description,diagnosis
citalopram,DB00215,"['Sodium-dependent serotonin transporter inhibitor', 'Histamine H1 receptor binder']","Citalopram belongs to a class of antidepressant agents known as selective serotonin-reuptake inhibitors (SSRIs) and is widely used to treat the symptoms of depression. Its chemical structure is unrelated to that of other SSRIs or of tricyclic, tetracyclic, or other prescribed antidepressants Label. Citalopram is also known as Celexa, and available in tablet and solution forms Label. This drug was initially approved by the FDA in 1998 18.
",depression
escitalopram,DB01175,"['Sodium-dependent serotonin transporter inhibitor', 'Muscarinic acetylcholine receptor M1 inhibitor', 'Histamine H1 receptor inhibitor', '5-hydroxytryptamine receptor 1A inhibitor', '5-hydroxytryptamine receptor 2A inhibitor', 'Alpha-1 adrenergic receptors inhibitor', '5-hydroxytryptamine receptor 2C inhibitor', 'Alpha-2 adrenergic receptors inhibitor', 'Dopamine D2 receptor inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor', 'Sodium-dependent dopamine transporter inhibitor']","Escitalopram is a selective serotonin re-uptake inhibitor (SSRI) and the S-enantiomer of racemic citalopram.11 It is used to restore serotonergic function in the treatment of depression and anxiety.18,19,20 Escitalopram is approximately 150 times more potent than citalopram’s R-enantiomer and is responsible for the vast majority of citalopram’s clinical activity, with some evidence suggesting that the R-enantiomer of racemic citalopram actively dampens the activity of escitalopram rather than existing simply as an inactive enantiomer.6,14 Amongst SSRIs, escitalopram exerts the highest degree of selectivity for the serotonin transporter (SERT) relative to other off-targets which may explain its lower rates of adverse effects as compared to other agents in this class.13 Escitalopram also differentiates itself from other SSRIs via allosteric action on its target - this may be the mechanism responsible for its observed superior efficacy and faster onset compared to other SSRIs.16,13,15
",depression
fluoxetine,DB00472,"['Sodium-dependent serotonin transporter inhibitor', '5-hydroxytryptamine receptor 2C antagonist', 'Neuronal acetylcholine receptor subunit alpha-2 antagonist', 'Neuronal acetylcholine receptor subunit alpha-3 antagonist', 'Neuronal acetylcholine receptor subunit beta-4 antagonist', 'Potassium voltage-gated channel subfamily H member 2 inhibitor']","Fluoxetine is a 2nd generation antidepressant categorized as a selective serotonin reuptake inhibitor (SSRI).2 It gained FDA approval in 1987 and although it was initially intended for the treatment of depression, today it is commonly prescribed to manage depression in addition to various other pathologies.13
",depression
fluvoxamine,DB00176,['Sodium-dependent serotonin transporter inhibitor'],"Fluvoxamine is an antidepressant which functions pharmacologically as a selective serotonin reuptake inhibitor. Though it is in the same class as other SSRI drugs, it is most often used to treat obsessive-compulsive disorder.
Fluvoxamine has been in use in clinical practice since 1983 and has a clinical trial database comprised of approximately 35,000 patients. It was launched in the US in December 1994 and in Japan in June 1999. As of the end of 1995, more than 10 million patients worldwide have been treated with fluvoxamine.
",depression
paroxetine,DB00715,"['Sodium-dependent serotonin transporter inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor', '5-hydroxytryptamine receptor 2A agonist', 'Alpha-1 adrenergic receptors binder', 'Alpha-2 adrenergic receptors binder', 'Beta adrenergic receptor inhibitor', 'Dopamine D2 receptor other/unknown', 'Histamine H1 receptor inhibitor', 'Muscarinic acetylcholine receptor inhibitor', '5-hydroxytryptamine receptor 2B agonist', 'D(1) dopamine receptor other/unknown']","Paroxetine is a selective serotonin reuptake inhibitor (SSRI) drug commonly known as Paxil. It has a variety of uses, including the treatment of anxiety disorders, major depression, posttraumatic stress disorder, and symptoms of menopause, among others.26 It was approved by the FDA in the early 1990s and marketed by SmithKline Beecham.32,33 A unique feature of this drug is that it is highly potent and selective in its inhibition of serotonin reuptake and has little effect on other neurotransmitters.13 Because of its potent inhibition of serotonin reuptake, paroxetine is more likely to cause withdrawal effects upon cessation. Paroxetine is well tolerated in most patients with a similar adverse effect profile to other members of its drug class.13 The controlled release formulation was designed to decrease the likelihood of nausea that is sometimes associated with paroxetine.28,36
",depression
sertraline,DB01104,"['Sodium-dependent serotonin transporter inhibitor', 'Sodium-dependent dopamine transporter inhibitor', 'Sigma receptor inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor']","Sertraline is a popular antidepressant medication commonly known as a selective serotonin reuptake inhibitor (SSRI), and is similar to drugs such as Citalopram and Fluoxetine. Despite marked structural differences between compounds in this drug class, SSRIs exert similar pharmacological effects.
Several weeks of therapy with sertraline may be required before beneficial effects are noticed. Sertraline displays enhanced safety or tolerability than other classes of antidepressants, which frequently cause high levels of drowsiness, dizziness, blurred vision, and other undesirable effects.6,10,19
",depression
duloxetine,DB00476,"['Sodium-dependent serotonin transporter inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor', 'Sodium-dependent dopamine transporter inhibitor']","Duloxetine is a dual serotonin and norepinephrine reuptake inhibitor.Label It was originally discovered in 1993 and developed by Eli Lilly and Company as LY248686.15 Duloxetine first received approval from the FDA in August, 2004 as Cymbalta for the treatment of Major Depressive Disorder.20 It has since received approval for a variety of indications including the treatment of neuropathic pain, Generalized Anxiety disorder, osteoarthritis, and stress incontinence. Duloxetine continues to be investigated for the treatment of pain in cancer, surgery, and more.
",depression
venlafaxine,DB00285,"['Sodium-dependent serotonin transporter inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor', 'Sodium-dependent dopamine transporter inhibitor']","Venlafaxine (Effexor) is an antidepressant within the serotonin-norepinephrine reuptake inhibitor (SNRI) class of medications. It exerts its effects primarily by blocking the transporters involved in the reuptake of the neurotransmitters serotonin and norepinephrine, therefore leaving more active neurotransmitter in the synapse. Venlafaxine is officially approved for use in the management of major depressive disorder (MDD), generalized anxiety disorder (GAD), social anxiety disorder, and panic disorder. As of 2014, Canadian clinical practice guidelines recommend venlafaxine as a first-line option for treatment of generalized anxiety, social anxiety, panic disorder, major depressive disorder (MDD), and consider it a second-line option for management of obsessive-compulsive disorder (OCD) 9,12. Venlafaxine is also used off-label for prophylaxis of migraine headaches 10, for reduction of vasomotor symptoms associated with menopause 13, and for management of neuropathic pain (although there is only minimal evidence of efficacy for this condition) 11.
",depression
desvenlafaxine,DB06700,"['Sodium-dependent noradrenaline transporter inhibitor', 'Sodium-dependent serotonin transporter inhibitor', 'Sodium-dependent dopamine transporter inhibitor']","Desvenlafaxine (O-desmethylvenlafaxine) the major active metabolite of venlafaxine, is an antidepressant from the serotonin norepinephrine reuptake inhibitor (SNRI) classLabel. Desvenlafaxine may be used to treat major depressive disorderLabel. It is formulated as an extended release tabletLabel. Desvenlafaxine was approved by the FDA in 20087.
",depression
duloxetine,DB00476,"['Sodium-dependent serotonin transporter inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor', 'Sodium-dependent dopamine transporter inhibitor']","Duloxetine is a dual serotonin and norepinephrine reuptake inhibitor.Label It was originally discovered in 1993 and developed by Eli Lilly and Company as LY248686.15 Duloxetine first received approval from the FDA in August, 2004 as Cymbalta for the treatment of Major Depressive Disorder.20 It has since received approval for a variety of indications including the treatment of neuropathic pain, Generalized Anxiety disorder, osteoarthritis, and stress incontinence. Duloxetine continues to be investigated for the treatment of pain in cancer, surgery, and more.
",depression
milnacipran,DB04896,"['Sodium-dependent serotonin transporter inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor', 'NMDA receptor inhibitor']","Milnacipran is a selective serotonin and norepinephrine reuptake inhibitor (SNRI) and like many agents in this category was originally developed for and continues to be approved and indicated for the treatment of depression 27,28,15,21. Furthermore, in 2009 the US FDA approved milnacipran for the additional indication of treating fibromyalgia 26, although other regional regulatory authorities like the EMA, among others, have not yet approved the agent for such treatment, citing lack of robust evidence of efficacy, insufficient demonstration of maintenance of effect, and other concerns 27,28. Nevertheless, milnacipran demonstrates a somewhat unique characteristic among SNRIs to elicit a relatively balanced reuptake inhibition of both serotonin and noradrenaline, with a somewhat increased preference for noradrenaline reuptake inhibition - which is potentially a point of interest given the plausible proposal that noradrenaline plays an important role in the mitigation of pain signals in the descending inhibitory pain pathways in the brain and spinal cord 14,18,19.
Moreover, recent research has shown that the levorotatory enantiomer of milnacipran, levomilnacipran, may have the capacity to inhibit the activity of beta-site amyloid precursor protein cleaving enzyme-1 (BACE-1), which has investigationally been associated with β-amyloid plaque formation - making the agent a possible course of treatment for Alzheimer's disease 22.
",depression
